DMA_ID,DMA
662,ABILENE-SWEETWATER
525,"ALBANY, GA"
532,ALBANY-SCHENECTADY-TROY
790,ALBUQUERQUE-SANTA FE
644,"ALEXANDRIA, LA"
583,ALPENA
634,AMARILLO
743,ANCHORAGE
524,ATLANTA
520,AUGUSTA
635,AUSTIN
800,BAKERSFIELD
512,BALTIMORE
537,BANGOR
716,BATON ROUGE
692,BEAUMONT-PORT ARTHUR
821,"BEND, OR"
756,BILLINGS
746,BILOXI-GULFPORT
502,BINGHAMTON
630,"BIRMINGHAM (ANN, TUSC)"
559,BLUEFIELD-BECKLEY-OAK HILL
757,BOISE
506,BOSTON
736,BOWLING GREEN
514,BUFFALO
523,BURLINGTON-PLATTSBURGH
754,BUTTE-BOZEMAN
767,CASPER-RIVERTON
637,CEDAR RAPIDS-WATERLOO&DUBQ
648,CHAMPAIGN&SPRNGFLD-DECATUR
519,"CHARLESTON, SC"
564,CHARLESTON-HUNTINGTON
517,CHARLOTTE
584,CHARLOTTESVILLE
575,CHATTANOOGA
759,CHEYENNE-SCOTTSBLUF
602,CHICAGO
868,CHICO-REDDING
515,CINCINNATI
598,CLARKSBURG-WESTON
510,CLEVELAND
752,COLORADO SPRINGS-PUEBLO
546,"COLUMBIA, SC"
604,COLUMBIA-JEFFERSON CITY
522,"COLUMBUS, GA"
535,"COLUMBUS, OH"
673,COLUMBUS-TUPELO-WEST POINT
600,CORPUS CHRISTI
623,DALLAS-FT. WORTH
682,DAVENPORT-R.ISLAND-MOLINE
542,DAYTON
751,DENVER
679,DES MOINES-AMES
505,DETROIT
606,DOTHAN
676,DULUTH-SUPERIOR
765,EL PASO
565,ELMIRA
516,ERIE
801,EUGENE
802,EUREKA
649,EVANSVILLE
745,FAIRBANKS
724,FARGO-VALLEY CITY
513,FLINT-SAGINAW-BAY CITY
570,FLORENCE-MYRTLE BEACH
866,FRESNO-VISALIA
571,FT. MYERS-NAPLES
670,FT. SMITH-FAY-SPRNGDL-RGRS
509,FT. WAYNE
592,GAINESVILLE
798,GLENDIVE
773,GRAND JUNCTION-MONTROSE
563,GRAND RAPIDS-KALMZOO-B.CRK
755,GREAT FALLS
658,GREEN BAY-APPLETON
518,GREENSBORO-H.POINT-W.SALEM
545,GREENVILLE-N.BERN-WASHNGTN
567,GREENVLL-SPART-ASHEVLL-AND
647,GREENWOOD-GREENVILLE
636,HARLINGEN-WSLCO-BRNSVL-MCA
566,HARRISBURG-LNCSTR-LEB-YORK
569,HARRISONBURG
533,HARTFORD & NEW HAVEN
710,HATTIESBURG-LAUREL
766,HELENA
744,HONOLULU
618,HOUSTON
691,"HUNTSVILLE-DECATUR,FLOR"
758,IDAHO FALLS-POCATELLO
527,INDIANAPOLIS
718,"JACKSON, MS"
639,"JACKSON, TN"
561,"JACKSONVILLE, BRUNSWICK"
574,JOHNSTOWN-ALTOONA
734,JONESBORO
603,JOPLIN-PITTSBURG
747,JUNEAU
616,KANSAS CITY
557,KNOXVILLE
702,LA CROSSE-EAU CLAIRE
582,"LAFAYETTE, IN"
642,"LAFAYETTE, LA"
643,LAKE CHARLES
551,LANSING
749,LAREDO
839,LAS VEGAS
541,LEXINGTON
558,LIMA
722,LINCOLN & HSTNGS-KRNYPLUS
693,LITTLE ROCK-PINE BLUFF
803,LOS ANGELES
529,LOUISVILLE
651,LUBBOCK
503,MACON
669,MADISON
737,MANKATO
